"Start Time","End Time","Text","Layer ID"
"00:00:00:16","00:00:01:15","MEG MARTIN: Hi, everybody.","1"
"00:00:01:15","00:00:07:22","Welcome back to our second returning episode of Lean in Olympia.","1"
"00:00:08:06","00:00:09:19","My name is Meg Martin.","1"
"00:00:09:19","00:00:13:22","I'm the director of integrative services for interfaith Works","1"
"00:00:13:22","00:00:17:22","and one of your co-hosts of Lean in Olympia.","1"
"00:00:18:13","00:00:21:23","So as we talked about before with Corey,","1"
"00:00:21:23","00:00:27:08","my co-host last time,one of the things that I love most about Lean In Olympia","1"
"00:00:27:08","00:00:32:21","is the opportunity to highlight other amazing people in our communityand the work that they're doing.","1"
"00:00:33:10","00:00:37:23","And today, I have a special guest who I've worked with now","1"
"00:00:37:23","00:00:42:12","for a long time, very long time, probably over ten years.","1"
"00:00:42:12","00:00:43:19","At this point.","1"
"00:00:43:19","00:00:47:19","Katie Strozyk, the opioid and overdose","1"
"00:00:47:20","00:00:52:00","response program manager for Thurston County Public Health","1"
"00:00:52:17","00:00:58:16","and I'm so excited to have you here today to talk about an issuethat is very near and dear to my heart.","1"
"00:00:59:14","00:01:04:14","Overdose and overdose preventionand helping to support people in our community","1"
"00:01:04:14","00:01:09:11","who are struggling with addiction, looking to access treatment","1"
"00:01:09:11","00:01:13:19","and also just living their lives every day as people who use substances.","1"
"00:01:14:02","00:01:16:00","So, Katie, welcome.","1"
"00:01:16:00","00:01:16:21","KATIE STROZYK: Thank you so much.","1"
"00:01:16:21","00:01:17:19","MARTIN: Yeah.","1"
"00:01:17:19","00:01:24:05","Can we start just with you telling us a little bit about your officeand your position?","1"
"00:01:24:05","00:01:30:17","I think there's probably still a lot of people in the communitywho might not be aware of the work that you're doing every day.","1"
"00:01:30:23","00:01:32:00","STROZYK: Yeah, definitely.","1"
"00:01:32:00","00:01:36:09","So my position is housed at ThurstonCounty Public Health and Social Services,","1"
"00:01:36:09","00:01:42:12","and we've been really lucky to be able to expand our work in opioidand overdose response over the last few years, too.","1"
"00:01:42:13","00:01:49:10","So when I started five and a half years ago now, it was reallyjust me in the position looking at opioid and overdose response.","1"
"00:01:49:11","00:01:51:23","We've been able to develop a whole program since then.","1"
"00:01:51:23","00:02:00:11","Now, so we have multiple staff members working on everythingfrom primary prevention to specialized pregnant and parenting work.","1"
"00:02:00:17","00:02:06:07","We also have an entire drug user health program at the countythat operates a syringe services program,","1"
"00:02:06:13","00:02:10:19","hepatitis C and HIV screening, case management, things like that.","1"
"00:02:11:00","00:02:16:03","So we've been able to develop our scope and expandand really try to meet","1"
"00:02:16:03","00:02:20:03","the need of our communitymore as we've been able to bring more folks on board.","1"
"00:02:20:04","00:02:24:10","We're also in charge of moving forwardthe opioid response plan for Thurston County.","1"
"00:02:24:15","00:02:29:02","So our team does a ton of strategic planning, program planning,","1"
"00:02:29:04","00:02:33:04","finding grant funding, doing overdose education, things like that.","1"
"00:02:33:14","00:02:35:09","MARTIN: Is that opioid response plan—","1"
"00:02:35:09","00:02:41:13","Is that like something that every community has,or is that a thing that is kind of unique to Thurston County?","1"
"00:02:41:15","00:02:43:17","STROZYK: It would be great if every community had it.","1"
"00:02:43:17","00:02:48:10","We are looked at often at the statefor being highlighted as one of the communities","1"
"00:02:48:10","00:02:52:10","who does have one and who has a robust one as well.","1"
"00:02:52:18","00:02:58:17","A lot of counties and even just like jurisdiction hubsdon't have a response plan on paper.","1"
"00:02:58:18","00:03:03:03","They've got like a coordinated effort of response,but they really don't have","1"
"00:03:03:03","00:03:07:12","something on paperthat shows their goals and their strategies that they're all working on.","1"
